000000 0.4998 0.2489 0.2513
001000 0.1150 0.4175 0.4674
002000 0.1097 0.4219 0.4684
003000 0.1074 0.4223 0.4704
004000 0.1169 0.4093 0.4738
005000 0.1256 0.3997 0.4747
006000 0.1056 0.4309 0.4634
007000 0.1140 0.4244 0.4616
008000 0.1159 0.4093 0.4748
009000 0.1036 0.4260 0.4704
010000 0.1203 0.4005 0.4791
011000 0.1045 0.4235 0.4720
012000 0.1030 0.4208 0.4762
013000 0.1125 0.4224 0.4652
014000 0.1218 0.4007 0.4775
015000 0.1124 0.4171 0.4705
016000 0.1124 0.4171 0.4705
017000 0.1124 0.4171 0.4705
018000 0.1124 0.4171 0.4705
019000 0.1124 0.4171 0.4705
020000 0.1124 0.4171 0.4705
