000000 0.4998 0.2501 0.2501
001000 0.4523 0.2327 0.3150
002000 0.4590 0.2265 0.3145
003000 0.4584 0.2286 0.3130
004000 0.4571 0.2253 0.3176
005000 0.4665 0.2225 0.3110
006000 0.4632 0.2266 0.3103
007000 0.4486 0.2310 0.3204
008000 0.4548 0.2279 0.3173
009000 0.4567 0.2236 0.3197
010000 0.4526 0.2274 0.3199
011000 0.4538 0.2307 0.3155
012000 0.4538 0.2307 0.3155
013000 0.4538 0.2307 0.3155
014000 0.4538 0.2307 0.3155
015000 0.4538 0.2307 0.3155
016000 0.4538 0.2307 0.3155
017000 0.4538 0.2307 0.3155
018000 0.4538 0.2307 0.3155
019000 0.4538 0.2307 0.3155
020000 0.4538 0.2307 0.3155
