(0.0,0.1,0.0,0.0,0.0,0.0) = (0.0000,1.0000,0.0000)
(0.0,0.1,0.0,0.0,0.0,0.025) = (0.0000,1.0000,0.0000)
(0.0,0.1,0.0,0.0,0.0,0.05) = (0.0000,1.0000,0.0000)
(0.0,0.1,0.0,0.0,0.0,0.075) = (0.0000,1.0000,0.0000)
(0.0,0.1,0.0,0.0,0.0,0.1) = (0.0000,0.5920,0.4079)
(0.0,0.1,0.0,0.0,0.025,0.0) = (0.0000,1.0000,0.0000)
(0.0,0.1,0.0,0.0,0.025,0.025) = (0.0000,1.0000,0.0000)
(0.0,0.1,0.0,0.0,0.025,0.05) = (0.0000,1.0000,0.0000)
(0.0,0.1,0.0,0.0,0.025,0.075) = (0.0000,1.0000,0.0000)
(0.0,0.1,0.0,0.0,0.025,0.1) = (0.0000,0.6667,0.3333)
(0.0,0.1,0.0,0.0,0.05,0.0) = (0.0000,1.0000,0.0000)
(0.0,0.1,0.0,0.0,0.05,0.025) = (0.0000,1.0000,0.0000)
(0.0,0.1,0.0,0.0,0.05,0.05) = (0.0000,1.0000,0.0000)
(0.0,0.1,0.0,0.0,0.05,0.075) = (0.0000,1.0000,0.0000)
(0.0,0.1,0.0,0.0,0.05,0.1) = (0.0000,0.4988,0.5012)
(0.0,0.1,0.0,0.0,0.075,0.0) = (1.0000,0.0000,0.0000)
(0.0,0.1,0.0,0.0,0.075,0.025) = (0.0000,1.0000,0.0000)
(0.0,0.1,0.0,0.0,0.075,0.05) = (1.0000,0.0000,0.0000)
(0.0,0.1,0.0,0.0,0.075,0.075) = (1.0000,0.0000,0.0000)
(0.0,0.1,0.0,0.0,0.075,0.1) = (0.0000,0.3385,0.6615)
(0.0,0.1,0.0,0.0,0.1,0.0) = (1.0000,0.0000,0.0000)
(0.0,0.1,0.0,0.0,0.1,0.025) = (1.0000,0.0000,0.0000)
(0.0,0.1,0.0,0.0,0.1,0.05) = (1.0000,0.0000,0.0000)
(0.0,0.1,0.0,0.0,0.1,0.075) = (1.0000,0.0000,0.0000)
(0.0,0.1,0.0,0.0,0.1,0.1) = (1.0000,0.0000,0.0000)
(0.0,0.1,0.0,0.025,0.0,0.0) = (0.0000,1.0000,0.0000)
(0.0,0.1,0.0,0.025,0.0,0.025) = (0.0000,1.0000,0.0000)
(0.0,0.1,0.0,0.025,0.0,0.05) = (0.0000,1.0000,0.0000)
(0.0,0.1,0.0,0.025,0.0,0.075) = (0.0000,1.0000,0.0000)
(0.0,0.1,0.0,0.025,0.0,0.1) = (0.0000,0.3023,0.6977)
(0.0,0.1,0.0,0.025,0.025,0.0) = (0.0000,1.0000,0.0000)
(0.0,0.1,0.0,0.025,0.025,0.025) = (0.0000,1.0000,0.0000)
(0.0,0.1,0.0,0.025,0.025,0.05) = (0.0000,1.0000,0.0000)
(0.0,0.1,0.0,0.025,0.025,0.075) = (0.0000,1.0000,0.0000)
(0.0,0.1,0.0,0.025,0.025,0.1) = (0.0000,0.3279,0.6721)
(0.0,0.1,0.0,0.025,0.05,0.0) = (0.0000,1.0000,0.0000)
(0.0,0.1,0.0,0.025,0.05,0.025) = (0.0000,1.0000,0.0000)
(0.0,0.1,0.0,0.025,0.05,0.05) = (0.0000,1.0000,0.0000)
(0.0,0.1,0.0,0.025,0.05,0.075) = (0.0000,1.0000,0.0000)
(0.0,0.1,0.0,0.025,0.05,0.1) = (0.0000,0.0316,0.9684)
(0.0,0.1,0.0,0.025,0.075,0.0) = (1.0000,0.0000,0.0000)
(0.0,0.1,0.0,0.025,0.075,0.025) = (1.0000,0.0000,0.0000)
(0.0,0.1,0.0,0.025,0.075,0.05) = (1.0000,0.0000,0.0000)
(0.0,0.1,0.0,0.025,0.075,0.075) = (1.0000,0.0000,0.0000)
(0.0,0.1,0.0,0.025,0.075,0.1) = (0.0000,0.0000,1.0000)
(0.0,0.1,0.0,0.025,0.1,0.0) = (1.0000,0.0000,0.0000)
(0.0,0.1,0.0,0.025,0.1,0.025) = (1.0000,0.0000,0.0000)
(0.0,0.1,0.0,0.025,0.1,0.05) = (1.0000,0.0000,0.0000)
(0.0,0.1,0.0,0.025,0.1,0.075) = (1.0000,0.0000,0.0000)
(0.0,0.1,0.0,0.025,0.1,0.1) = (1.0000,0.0000,0.0000)
(0.0,0.1,0.0,0.05,0.0,0.0) = (0.0000,1.0000,0.0000)
(0.0,0.1,0.0,0.05,0.0,0.025) = (0.0000,1.0000,0.0000)
(0.0,0.1,0.0,0.05,0.0,0.05) = (0.0000,1.0000,0.0000)
(0.0,0.1,0.0,0.05,0.0,0.075) = (0.0000,1.0000,0.0000)
(0.0,0.1,0.0,0.05,0.0,0.1) = (0.0000,0.1351,0.8649)
(0.0,0.1,0.0,0.05,0.025,0.0) = (0.0000,1.0000,0.0000)
(0.0,0.1,0.0,0.05,0.025,0.025) = (0.0000,1.0000,0.0000)
(0.0,0.1,0.0,0.05,0.025,0.05) = (0.0000,1.0000,0.0000)
(0.0,0.1,0.0,0.05,0.025,0.075) = (0.0000,1.0000,0.0000)
(0.0,0.1,0.0,0.05,0.025,0.1) = (0.0000,0.2580,0.7420)
(0.0,0.1,0.0,0.05,0.05,0.0) = (0.0000,1.0000,0.0000)
(0.0,0.1,0.0,0.05,0.05,0.025) = (0.0000,1.0000,0.0000)
(0.0,0.1,0.0,0.05,0.05,0.05) = (0.0000,1.0000,0.0000)
(0.0,0.1,0.0,0.05,0.05,0.075) = (0.0000,1.0000,0.0000)
(0.0,0.1,0.0,0.05,0.05,0.1) = (0.0000,0.1117,0.8883)
